"Date","PropMoon"
2010-02-07,0.32
2010-02-11,0.05
2010-02-14,0.01
2010-02-18,0.12
2010-02-21,0.38
2010-02-25,0.79
2010-02-28,0.99
2010-03-04,0.78
2010-03-07,0.5
